generation,best_fitness,best_size,best_depth
0,2.5183037969427526,6,2
1,2.5183037969427526,6,2
2,2.5183037969427526,6,2
3,2.5183037969427526,6,2
4,2.4878564814529835,16,5
5,2.4433310423483343,18,6
6,2.283898580726806,17,5
7,1.9637119752382406,19,6
8,1.9637119752382406,19,6
9,1.864328711160654,33,8
10,1.750937966555565,28,8
11,1.750937966555565,28,8
12,1.681002778481872,28,8
13,1.6774684245204394,26,7
14,1.6566543607272235,32,8
15,1.643249506026333,26,8
16,1.6088536998478333,25,8
17,1.6088536998478333,25,8
18,1.5831427080705494,26,8
19,1.552212672642189,42,8
20,1.552212672642189,42,8
21,1.552212672642189,42,8
22,1.526265452181104,40,8
23,1.516486257760546,42,8
24,1.516486257760546,42,8
25,1.5101763444838392,38,8
26,1.491830511500746,40,8
27,1.4903247129796946,40,8
28,1.4620637992044014,42,8
29,1.4086184046923018,40,8
30,1.3822316557229355,48,8
31,1.3822316557229355,48,8
32,1.3822316557229355,48,8
33,1.3822316557229355,48,8
34,1.3822316557229355,48,8
35,1.3768902727846817,48,8
36,1.3768902727846817,48,8
37,1.3768902727846817,48,8
38,1.3711156098654578,46,8
39,1.3711156098654578,46,8
40,1.3711156098654578,46,8
41,1.3711156098654578,46,8
42,1.3711156098654578,46,8
43,1.3711156098654578,46,8
44,1.3711156098654578,46,8
45,1.3681807574405185,46,8
46,1.3681807574405185,46,8
47,1.3681807574405185,46,8
48,1.3681807574405185,46,8
49,1.3681807574405185,46,8
50,1.3681807574405185,46,8
51,1.3678996325186277,46,8
52,1.3640443509264317,49,8
53,1.3640443509264317,49,8
54,1.3640443509264317,49,8
55,1.3620357383869612,49,8
56,1.3620357383869612,49,8
57,1.3620357383869612,49,8
58,1.3620357383869612,49,8
59,1.3620357383869612,49,8
60,1.3620357383869612,49,8
61,1.3618066041343126,49,8
62,1.3618066041343126,49,8
63,1.3618066041343126,49,8
64,1.3618066041343126,49,8
65,1.3618066041343126,49,8
66,1.3618066041343126,49,8
67,1.3618066041343126,49,8
68,1.3618066041343126,49,8
69,1.3600504441747054,49,8
70,1.3600504441747054,49,8
71,1.3600504441747054,49,8
72,1.3600504441747054,49,8
73,1.3594694543836947,51,8
74,1.3594694543836947,51,8
75,1.3594694543836947,51,8
76,1.3594694543836947,51,8
77,1.3594694543836947,51,8
78,1.3594694543836947,51,8
79,1.3594694543836947,51,8
80,1.3449887166505794,52,8
81,1.3449887166505794,52,8
82,1.3449887166505794,52,8
83,1.3449887166505794,52,8
84,1.3449887166505794,52,8
85,1.3449887166505794,52,8
86,1.3449887166505794,52,8
87,1.3445184769734555,52,8
88,1.3431146988877862,52,8
89,1.3431146988877862,52,8
90,1.3431146988877862,52,8
91,1.3391516342122556,50,8
92,1.3391516342122556,50,8
93,1.3391516342122556,50,8
94,1.3391516342122556,50,8
95,1.3348608885232078,52,8
96,1.3348608885232078,52,8
97,1.3348608885232078,52,8
98,1.3348608885232078,52,8
99,1.3348608885232078,52,8
100,1.3348608885232078,52,8
